date_formated,consumption
20200102060000,56619
20200102120000,70442
20200102180000,68735
20200103060000,55545
20200103120000,67167
20200103180000,65786
20200104060000,53965
20200104120000,63455
20200104180000,62430
20200105060000,53987
20200105120000,62803
20200105180000,61853
20200106060000,62357
20200106120000,75201
20200106180000,72479
20200107060000,61134
20200107120000,73603
20200107180000,71076
20200108060000,57895
20200108120000,70687
20200108180000,67701
20200109060000,55896
20200109120000,67836
20200109180000,65809
20200110060000,56193
20200110120000,69816
20200110180000,68794
20200111060000,55797
20200111120000,64640
20200111180000,62817
20200112060000,55130
20200112120000,63806
20200112180000,61007
20200113060000,59580
20200113120000,73114
20200113180000,70668
20200114060000,59885
20200114120000,71524
20200114180000,68775
20200115060000,58007
20200115120000,70382
20200115180000,67727
20200116060000,59298
20200116120000,68844
20200116180000,64689
20200117060000,56077
20200117120000,69356
20200117180000,67415
20200118060000,56618
20200118120000,65956
20200118180000,63336
20200119060000,57577
20200119120000,66715
20200119180000,63769
20200120060000,65460
20200120120000,78286
20200120180000,75621
20200121060000,68289
20200121120000,80481
20200121180000,76039
20200122060000,68905
20200122120000,81793
20200122180000,76083
20200123060000,67740
20200123120000,80776
20200123180000,77180
20200124060000,67246
20200124120000,79844
20200124180000,73921
20200125060000,61520
20200125120000,71080
20200125180000,65447
20200126060000,55732
20200126120000,65321
20200126180000,60347
20200127060000,58570
20200127120000,74072
20200127180000,71172
20200128060000,60372
20200128120000,73502
20200128180000,70779
20200129060000,60879
20200129120000,72778
20200129180000,67867
20200130060000,60535
20200130120000,72113
20200130180000,67173
20200131060000,54994
20200131120000,65872
20200131180000,60613
20200201060000,48283
20200201120000,58604
20200201180000,54088
20200202060000,45612
20200202120000,55865
20200202180000,51373
20200203060000,49849
20200203120000,63658
20200203180000,58829
20200204060000,54609
20200204120000,67750
20200204180000,65976
20200205060000,58946
20200205120000,71828
20200205180000,66050
20200206060000,63544
20200206120000,73424
20200206180000,65507
20200207060000,64389
20200207120000,73374
20200207180000,65006
20200208060000,54482
20200208120000,63486
20200208180000,57735
20200209060000,50693
20200209120000,60240
20200209180000,55515
20200210060000,53696
20200210120000,66488
20200210180000,63122
20200211060000,56556
20200211120000,68117
20200211180000,65298
20200212060000,59935
20200212120000,69589
20200212180000,64149
20200213060000,60395
20200213120000,72370
20200213180000,66762
20200214060000,57765
20200214120000,67761
20200214180000,60471
20200215060000,53277
20200215120000,59649
20200215180000,53860
20200216060000,47496
20200216120000,55588
20200216180000,50564
20200217060000,51697
20200217120000,66137
20200217180000,61661
20200218060000,58123
20200218120000,67693
20200218180000,61861
20200219060000,58287
20200219120000,69799
20200219180000,64053
20200220060000,57673
20200220120000,67710
20200220180000,61613
20200221060000,59313
20200221120000,68363
20200221180000,61243
20200222060000,55517
20200222120000,60120
20200222180000,53480
20200223060000,48415
20200223120000,56489
20200223180000,50011
20200224060000,51977
20200224120000,64422
20200224180000,57767
20200225060000,53238
20200225120000,65568
20200225180000,61333
20200226060000,59295
20200226120000,72184
20200226180000,66376
20200227060000,61054
20200227120000,74359
20200227180000,67630
20200228060000,62957
20200228120000,72042
20200228180000,64968
20200229060000,52216
20200229120000,61690
20200229180000,57553
20200301060000,50291
20200301120000,59776
20200301180000,55032
20200302060000,56282
20200302120000,71052
20200302180000,65324
20200303060000,61603
20200303120000,72500
20200303180000,65497
20200304060000,62016
20200304120000,72690
20200304180000,66349
20200305060000,56725
20200305120000,70688
20200305180000,66503
20200306060000,60443
20200306120000,71867
20200306180000,64705
20200307060000,57019
20200307120000,63220
20200307180000,56667
20200308060000,51885
20200308120000,58904
20200308180000,53594
20200309060000,56511
20200309120000,67916
20200309180000,62458
20200310060000,56851
20200310120000,68038
20200310180000,61639
20200311060000,52667
20200311120000,62619
20200311180000,55463
20200312060000,51032
20200312120000,62151
20200312180000,56915
20200313060000,54801
20200313120000,63047
20200313180000,55832
20200314060000,50664
20200314120000,56917
20200314180000,50838
20200315060000,47193
20200315120000,51632
20200315180000,45089
20200316060000,50508
20200316120000,60430
20200316180000,54838
20200317060000,51136
20200317120000,57131
20200317180000,48885
20200318060000,47427
20200318120000,52845
20200318180000,45246
20200319060000,44662
20200319120000,50238
20200319180000,42795
20200320060000,41955
20200320120000,49256
20200320180000,43320
20200321060000,40046
20200321120000,47904
20200321180000,43739
20200322060000,40898
20200322120000,49616
20200322180000,42667
20200323060000,46059
20200323120000,52590
20200323180000,45562
20200324060000,47900
20200324120000,53536
20200324180000,46281
20200325060000,49969
20200325120000,54125
20200325180000,46377
20200326060000,50090
20200326120000,54905
20200326180000,48246
20200327060000,50117
20200327120000,53684
20200327180000,45866
20200328060000,45952
20200328120000,48108
20200328180000,41876
20200329060000,41195
20200329120000,49628
20200329180000,46107
20200330060000,50514
20200330120000,60015
20200330180000,51276
20200331060000,51630
20200331120000,57417
20200331180000,47759
20200401060000,49369
20200401120000,56471
20200401180000,46498
20200402060000,49336
20200402120000,55872
20200402180000,46788
20200403060000,47817
20200403120000,54122
20200403180000,45846
20200404060000,45286
20200404120000,47912
20200404180000,40052
20200405060000,39451
20200405120000,44401
20200405180000,36299
20200406060000,38674
20200406120000,47968
20200406180000,42410
20200407060000,40625
20200407120000,48472
20200407180000,40711
20200408060000,38790
20200408120000,47313
20200408180000,40214
20200409060000,37602
20200409120000,45967
20200409180000,39238
20200410060000,36257
20200410120000,44683
20200410180000,38184
20200411060000,33463
20200411120000,40610
20200411180000,36318
20200412060000,31910
20200412120000,40838
20200412180000,34396
20200413060000,32327
20200413120000,41195
20200413180000,36599
20200414060000,36684
20200414120000,47700
20200414180000,39943
20200415060000,40068
20200415120000,48440
20200415180000,40316
20200416060000,38131
20200416120000,47459
20200416180000,40089
20200417060000,36455
20200417120000,46036
20200417180000,39578
20200418060000,33156
20200418120000,41428
20200418180000,36636
20200419060000,31305
20200419120000,41222
20200419180000,35702
20200420060000,34815
20200420120000,46527
20200420180000,40563
20200421060000,36146
20200421120000,47844
20200421180000,40728
20200422060000,37412
20200422120000,47363
20200422180000,40781
20200423060000,36757
20200423120000,47101
20200423180000,41261
20200424060000,36950
20200424120000,45704
20200424180000,39578
20200425060000,33343
20200425120000,40596
20200425180000,36644
20200426060000,31833
20200426120000,40576
20200426180000,35467
20200427060000,35192
20200427120000,45781
20200427180000,41144
20200428060000,36450
20200428120000,47577
20200428180000,42235
20200429060000,37674
20200429120000,48166
20200429180000,41553
20200430060000,37845
20200430120000,48746
20200430180000,41699
20200501060000,34230
20200501120000,42242
20200501180000,37819
20200502060000,34748
20200502120000,42724
20200502180000,38816
20200503060000,33371
20200503120000,41596
20200503180000,36926
20200504060000,35991
20200504120000,47391
20200504180000,41159
20200505060000,36224
20200505120000,47667
20200505180000,41947
20200506060000,36685
20200506120000,46823
20200506180000,40875
20200507060000,36883
20200507120000,46444
20200507180000,41254
20200508060000,33069
20200508120000,40895
20200508180000,37385
20200509060000,31869
20200509120000,39996
20200509180000,37130
20200510060000,30188
20200510120000,40447
20200510180000,35933
20200511060000,35669
20200511120000,49305
20200511180000,44131
20200512060000,39579
20200512120000,50732
20200512180000,44416
20200513060000,39822
20200513120000,51921
20200513180000,45798
20200514060000,40660
20200514120000,51896
20200514180000,44682
20200515060000,40220
20200515120000,50707
20200515180000,43134
20200516060000,36541
20200516120000,43743
20200516180000,38144
20200517060000,33075
20200517120000,41104
20200517180000,35380
20200518060000,36332
20200518120000,48380
20200518180000,42914
20200519060000,36059
20200519120000,48335
20200519180000,43002
20200520060000,35758
20200520120000,48026
20200520180000,43038
20200521060000,31998
20200521120000,41556
20200521180000,38073
20200522060000,33032
20200522120000,43816
20200522180000,40551
20200523060000,31462
20200523120000,41421
20200523180000,37464
20200524060000,30342
20200524120000,39693
20200524180000,34624
20200525060000,34102
20200525120000,47360
20200525180000,42780
20200526060000,35916
20200526120000,48360
20200526180000,43500
20200527060000,35661
20200527120000,48308
20200527180000,43545
20200528060000,35390
20200528120000,48035
20200528180000,43602
20200529060000,35289
20200529120000,47052
20200529180000,42635
20200530060000,31857
20200530120000,41189
20200530180000,37835
20200531060000,29482
20200531120000,38564
20200531180000,34555
20200601060000,30343
20200601120000,41069
20200601180000,37346
20200602060000,34173
20200602120000,49730
20200602180000,45676
20200603060000,36238
20200603120000,49977
20200603180000,44945
20200604060000,35730
20200604120000,50479
20200604180000,44199
20200605060000,35782
20200605120000,48715
20200605180000,42950
20200606060000,31959
20200606120000,41569
20200606180000,37807
20200607060000,30498
20200607120000,40774
20200607180000,35800
20200608060000,35006
20200608120000,48400
20200608180000,43304
20200609060000,36030
20200609120000,50425
20200609180000,45118
20200610060000,36653
20200610120000,51796
20200610180000,45528
20200611060000,36833
20200611120000,50710
20200611180000,45379
20200612060000,36485
20200612120000,50540
20200612180000,44729
20200613060000,32748
20200613120000,43109
20200613180000,38649
20200614060000,30065
20200614120000,40903
20200614180000,36587
20200615060000,34164
20200615120000,49216
20200615180000,44880
20200616060000,36136
20200616120000,50241
20200616180000,45296
20200617060000,35988
20200617120000,50587
20200617180000,45140
20200618060000,36154
20200618120000,50104
20200618180000,46209
20200619060000,35793
20200619120000,49163
20200619180000,43424
20200620060000,32684
20200620120000,43346
20200620180000,38732
20200621060000,30003
20200621120000,40362
20200621180000,36263
20200622060000,34198
20200622120000,49891
20200622180000,45909
20200623060000,35670
20200623120000,51175
20200623180000,46966
20200624060000,36125
20200624120000,52473
20200624180000,48612
20200625060000,36638
20200625120000,53189
20200625180000,49746
20200626060000,37092
20200626120000,52161
20200626180000,47188
20200627060000,32663
20200627120000,43527
20200627180000,40278
20200628060000,30474
20200628120000,40989
20200628180000,37853
20200629060000,34840
20200629120000,49969
20200629180000,46134
20200630060000,36652
20200630120000,50723
20200630180000,47357
